nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;motVedette
2;dŭʹsky;;;;a.;37.0;77;dusky
2;ŏʹrphan;;;;n.;17.0;153;orphan
5;incăpāʹcitāte;;;;v.;15.0;115;incapacitate
1;whĕlm;;;;v.;60.0;237;whelm
2;amāʹze;;;;v.;71.0;24;amaze
4;minŏʹrĭty;;;;n.;60.0;140;minority
1;bring;;;;v.;16.0;41;bring
2;grȯu̇ʹndſel;;;;n.;17.0;102;grouondsel
1;wyche;;;;n.;42.0;240;wyche
4;intūʹitive;L.;;;a.;73.0;122;intuitive
4;bĭfăʹrĭ_o_us;L.;;;a.;29.0;37;bifarious
2;lăʹng_u_age;F.;;;n.;39.0;127;language
1;pair;F.;;;n.;25.0;155;pair
2;sĕʹquĕnce;;;;n.;72.0;193;sequence
2;aſcrīʹbe;L.;;;v.;21.0;30;ascribe
3;retrĕʹnchment;F.;;;n.;74.0;183;retrenchment
5;pĕrsŏnăʹlĭty;;;;n.;70.0;160;personality
4;lăndgrāʹvĭāte;;;;n.;30.0;127;landgraviate
5;apŏʹthĕcary;G.;;;n.;2.0;28;apothecary
1;mŭſt;;;;n.;28.0;145;must
4;contĭʹnūal;;;;a.;24.0;58;continual
4;commĭʹſſion;F.;;;n.;25.0;54;commission
2;cōʹ_u_rſes;;;;n.;61.0;60;courses
1;root;;;;n.;25.0;186;root
2;deſĕʹrve;L.;;;v.;32.0;68;deserve
2;oʹval;L.;;;n.;46.0;153;oval
3;fooʹlĕry;;;;n.;25.0;91;foolery
5;inĕʹxpĭable;L.;;;a.;6.0;118;inexpiable
2;dăʹngler;;;;n.;35.0;64;dangler
2;măʹrtĭn;;;;n.;56.0;136;martin
1;săſh;;;;n.;24.0;189;sash
3;gĕʹntl_e_man;;;;n.;48.0;97;gentleman
1;whĕlp;;;;n.;61.0;237;whelp
4;consŭʹm_p_tion;F.;;;n.;67.0;57;consumption
1;wī_gh_t;;;;n.;54.0;238;wight
2;bĕgeʹt;;;;v.;56.0;35;beget
2;vĭʹllage;;;;n.;4.0;224;village
2;_h_ŏʹſtage;F.;;;n.;62.0;108;hostage
2;cŏʹffin;;;;n.;70.0;52;coffin
3;cŏlŏnāʹde;;;;n.;45.0;53;colonade
4;cācŏʹc_h_ymy;G.;;;n.;16.0;43;cacochymy
2;sŭʹlly;F.;;;v.;51.0;206;sully
2;ŭnſhoʹrn;;;;a.;19.0;232;unshorn
3;imbŏʹlden;;;;v.;38.0;112;imbolden
4;peaʹc_e_abl_e_neſs;;;;n.;50.0;158;peaceableness
3;făʹcti_o_us;;;;a.;13.0;87;factious
4;omnĭʹſcĭĕnce;L.;;;n.;60.0;151;omniscience
5;intŏʹlĕrable;;;;a.;46.0;122;intolerable
2;cryʹſtal;G.;;;n.;56.0;62;crystal
2;dīʹver;;;;n.;14.0;74;diver
4;glădĭāʹtor;L.;;;n.;52.0;98;gladiator
4;illĭʹbĕrāl;L.;;;a.;3.0;112;illiberal
4;păralĭʹpſis;G.;;;n.;44.0;156;paralipsis
3;intrūʹd_e_r ;;;;n.;69.0;122;intruder 
2;băʹttle;F.;;;n.;66.0;34;battle
3;jăpănēʹſe;F.;;;n.;28.0;110;japanese
2;cŏlʹter;;;;n.;53.0;53;colter
3;pūʹrĭfy;;;;v.;24.0;173;purify
3;ăbĕʹttor;;;;n.;21.0;19;abettor
5;ăllēgŏʹrical;G.;;;a.;19.0;24;allegorical
3;dĭsfŏʹreſt;;;;v.;71.0;71;disforest
2;cŏʹllege;L.;;;n.;33.0;53;college
3;ăʹlcăhol;;;;n.;55.0;23;alcahol
5;antĭne˘phre˘ʹtics;G.;;;n.;29.0;27;antinephretics
3;frĭʹppĕry;F.;;;n.;66.0;93;frippery
1;twĭns;;;;n.;52.0;220;twins
3;pāʹtrŏnal;;;;a.;27.0;158;patronal
2;thēʹmis;;;;n.;6.0;213;themis
3;ale-cŏnner;;nbSyll>1 et pas d'accent tonic;;n.;64.0;23;ale-conner
2;expăʹnd;L.;;;v.;2.0;86;expand
3;mŭʹltĭply;;;;v.;55.0;144;multiply
3;sĕʹntĭment;F.;;;n.;55.0;193;sentiment
2;leaʹther;;;;n.;66.0;128;leather
3;pĭʹllĭon;;;;n.;60.0;162;pillion
4;căpĭʹllăry;L.;;;a.;73.0;44;capillary
2;cŭʹtt_e_r;;;;n.;65.0;63;cutter
1;frŏth;;;;n.;14.0;94;froth
4;trīlăʹtĕral;L.;;;a.;41.0;218;trilateral
1;ſtŭff;;;;n.;18.0;205;stuff
4;debĭʹlĭty;F.;;;n.;22.0;65;debility
2;sŭʹrnāme;;;;n.;14.0;208;surname
3;cŏrrĕſpoʹnd;F.;;;v.;73.0;59;correspond
2;crăʹck_e_r;;;;n.;12.0;61;cracker
2;raiʹndeer;;;;n.;32.0;175;raindeer
5;inĕrgĕʹtĭcal;L.;;;a.;69.0;117;inergetical
4;brūtăʹlĭty;L.;;;n.;56.0;41;brutality
2;rōʹpy;;;;a.;27.0;186;ropy
4;trăpĕʹzĭum;G.;;;n.;44.0;217;trapezium
1;jaunt;F.;;;n.;3.0;111;jaunt
3;thēʹŏry;G.;;;n.;19.0;213;theory
1;ſcāte;;;;n.;41.0;190;scate
5;ăbnegātion;L.;nbSyll>1 et pas d'accent tonic;;n.;35.0;19;abnegation
3;ăʹrſĕnic;;;;n.;65.0;29;arsenic
2;tĕʹnthly;;;;p.;12.0;212;tenthly
2;imprīʹme;;;;v.;32.0;114;imprime
3;plūvĭal;L.;nbSyll>1 et pas d'accent tonic;;a.;59.0;164;pluvial
2;vīʹc_e_roy;F.;;;n.;53.0;223;viceroy
2;eʹqual;L.;;;a.;55.0;82;equal
